,Country,Total Library Size,Cost Per Month - Basic ($),Cost Per Month - Standard ($),Cost Per Month - Premium ($),Density (P/Km²),2018
0,Argentina,4760,3.74,6.3,9.26,17,20610.56855
1,Austria,5640,9.03,14.67,20.32,109,55454.68929
2,Bolivia,4991,7.99,10.99,13.99,11,7873.166243
3,Bulgaria,6797,9.03,11.29,13.54,64,21960.36994
4,Chile,4994,7.07,9.91,12.74,26,25222.52778
5,Colombia,4991,4.31,6.86,9.93,46,15012.93027
6,Costa Rica,4988,8.99,12.99,15.99,100,17671.09535
7,Croatia,2274,9.03,11.29,13.54,73,27579.78083
9,Ecuador,4992,7.99,10.99,13.99,71,11734.38739
10,Estonia,6456,9.03,11.29,13.54,31,35973.77646
11,France,5445,10.16,15.24,20.32,119,45342.39574
12,Germany,5668,9.03,14.67,20.32,240,53074.54012
14,Greece,4772,9.03,12.42,15.8,81,29592.15242
15,Guatemala,4767,7.99,10.99,13.99,167,8462.374008
16,Honduras,4989,7.99,10.99,13.99,89,5138.752457
17,Hong Kong,4746,8.08,10,11.93,7140,64596.56385
18,Iceland,6387,9.03,14.67,20.32,3,57303.06078
19,India,5843,2.64,6.61,8.6,464,7762.88177
20,Israel,5713,10.56,15.05,19.54,400,39919.16965
21,Italy,5183,9.03,14.67,20.32,206,41830.42633
22,Japan,5475,8.73,13.13,17.45,347,42797.45852
24,Malaysia,5952,8.29,10.65,13.02,99,31782.15336
25,Mexico,4993,6.62,10.43,14.24,66,19844.64567
26,Moldova,3937,9.03,11.29,13.54,123,7271.641919
28,Norway,4528,9.94,12.17,17.75,15,65510.58527
29,Paraguay,4797,8.29,11.49,14.69,18,13599.92656
30,Peru,4986,6.11,8.56,11.01,26,14418.07067
31,Philippines,6362,7.35,9.14,10.93,368,8951.085654
32,Poland,5109,7.13,10.58,14.76,124,31336.6035
33,Romania,5303,9.03,11.29,13.54,84,28206.35705
37,South Africa,5736,6.26,10.05,12.58,49,13686.88236
38,South Korea,5195,8.07,11.47,14.45,527,40111.77576
40,Thailand,4948,8.34,10.43,12.52,137,19051.33338
41,Turkey,4639,1.97,3,4.02,110,28068.85941
42,Ukraine,5336,5.64,8.46,11.29,75,9249.462135
43,Uruguay,4989,8.99,12.99,15.99,20,23572.17746
45,Belgium,4990,10.16,15.24,20.32,383,51407.99834
46,Singapore,6303,9.51,12.81,16.11,8358,101531.6302
47,Finland,4045,9.03,13.54,18.06,18,48416.93603
48,Latvia,6450,9.03,11.29,13.54,30,30304.8525
49,New Zealand,6084,8.8,12.53,16.94,18,41005.42087
50,Hungary,6884,7.64,10.71,13.78,107,31102.50275
51,Portugal,5047,9.03,13.54,18.06,111,33415.4379
52,Netherlands,5376,9.03,13.54,18.06,508,56328.94114
53,Sweden,4361,10.9,14.2,19.7,25,53208.88436
54,Canada,6239,7.91,11.87,15.03,4,48130.25597
55,Lithuania,6462,9.03,11.29,13.54,43,35461.3591
56,Spain,5229,9.03,14.67,20.32,94,39715.43906
57,United Kingdom,6643,7.91,13.2,18.48,281,45973.5735
58,Indonesia,3887,8.36,10.66,12.96,151,13079.6193
59,Brazil,4972,4.61,7.11,9.96,25,16096.40096
60,Ireland,6486,9.03,14.67,20.32,72,83203.39468
61,Switzerland,5506,12.88,20.46,26.96,219,68060.94105
62,Australia,6114,7.84,12.12,16.39,3,51663.36509
63,Denmark,4558,12,15.04,19.6,137,55671.16527
64,United States,5818,8.99,13.99,17.99,36,62794.58565
